Justificativas de conexões no grafo (baseadas em palavras-chave YAKE):

Conexão entre 0 e 59 - Palavras-chave em comum: Previdência Social
Conexão entre 0 e 248 - Palavras-chave em comum: Reforma da Previdência
Conexão entre 0 e 455 - Palavras-chave em comum: Previdência Social
Conexão entre 0 e 695 - Palavras-chave em comum: Previdência Social
Conexão entre 0 e 714 - Palavras-chave em comum: Reforma da Previdência
Conexão entre 0 e 1105 - Palavras-chave em comum: Previdência Social
Conexão entre 0 e 1127 - Palavras-chave em comum: Previdência Social
Conexão entre 0 e 1403 - Palavras-chave em comum: Previdência Social
Conexão entre 0 e 1874 - Palavras-chave em comum: Previdência Social
Conexão entre 1 e 81 - Palavras-chave em comum: vice-presidente Hamilton Mourão
Conexão entre 1 e 97 - Palavras-chave em comum: vice-presidente Hamilton Mourão
Conexão entre 1 e 102 - Palavras-chave em comum: vice-presidente Hamilton Mourão
Conexão entre 1 e 156 - Palavras-chave em comum: vice-presidente Hamilton Mourão
Conexão entre 1 e 173 - Palavras-chave em comum: vice-presidente Hamilton Mourão
Conexão entre 1 e 253 - Palavras-chave em comum: vice-presidente Hamilton Mourão
Conexão entre 1 e 332 - Palavras-chave em comum: vice-presidente Hamilton Mourão
Conexão entre 1 e 360 - Palavras-chave em comum: vice-presidente Hamilton Mourão
Conexão entre 1 e 370 - Palavras-chave em comum: vice-presidente Hamilton Mourão
Conexão entre 1 e 441 - Palavras-chave em comum: vice-presidente Hamilton Mourão
Conexão entre 1 e 522 - Palavras-chave em comum: vice-presidente Hamilton Mourão
Conexão entre 1 e 534 - Palavras-chave em comum: vice-presidente Hamilton Mourão
Conexão entre 1 e 579 - Palavras-chave em comum: vice-presidente Hamilton Mourão
Conexão entre 1 e 743 - Palavras-chave em comum: vice-presidente Hamilton Mourão
Conexão entre 1 e 916 - Palavras-chave em comum: vice-presidente Hamilton Mourão
Conexão entre 1 e 973 - Palavras-chave em comum: vice-presidente Hamilton Mourão
Conexão entre 1 e 1647 - Palavras-chave em comum: vice-presidente Hamilton Mourão
Conexão entre 2 e 57 - Palavras-chave em comum: reforma da Previdência
Conexão entre 2 e 88 - Palavras-chave em comum: reforma da Previdência
Conexão entre 2 e 97 - Palavras-chave em comum: idade mínima
Conexão entre 2 e 109 - Palavras-chave em comum: reforma da Previdência
Conexão entre 2 e 149 - Palavras-chave em comum: reforma da Previdência
Conexão entre 2 e 187 - Palavras-chave em comum: reforma da Previdência
Conexão entre 2 e 194 - Palavras-chave em comum: idade mínima
Conexão entre 2 e 306 - Palavras-chave em comum: reforma da Previdência
Conexão entre 2 e 316 - Palavras-chave em comum: reforma da Previdência
Conexão entre 2 e 344 - Palavras-chave em comum: reforma da Previdência
Conexão entre 2 e 379 - Palavras-chave em comum: reforma da Previdência
Conexão entre 2 e 389 - Palavras-chave em comum: reforma da Previdência
Conexão entre 2 e 419 - Palavras-chave em comum: reforma da Previdência
Conexão entre 2 e 423 - Palavras-chave em comum: reforma da Previdência
Conexão entre 2 e 435 - Palavras-chave em comum: reforma da Previdência
Conexão entre 2 e 436 - Palavras-chave em comum: reforma da Previdência
Conexão entre 2 e 438 - Palavras-chave em comum: reforma da Previdência
Conexão entre 2 e 441 - Palavras-chave em comum: reforma da Previdência
Conexão entre 2 e 463 - Palavras-chave em comum: prevê idade mínima
Conexão entre 2 e 493 - Palavras-chave em comum: reforma da Previdência
Conexão entre 2 e 544 - Palavras-chave em comum: reforma da Previdência
Conexão entre 2 e 695 - Palavras-chave em comum: reforma da Previdência
Conexão entre 2 e 696 - Palavras-chave em comum: idade mínima
Conexão entre 2 e 788 - Palavras-chave em comum: reforma da Previdência
Conexão entre 2 e 859 - Palavras-chave em comum: reforma da Previdência
Conexão entre 2 e 902 - Palavras-chave em comum: reforma da Previdência
Conexão entre 2 e 919 - Palavras-chave em comum: reforma da Previdência
Conexão entre 2 e 927 - Palavras-chave em comum: reforma da Previdência
Conexão entre 2 e 950 - Palavras-chave em comum: prevê idade mínima, idade mínima
Conexão entre 2 e 954 - Palavras-chave em comum: reforma da Previdência
Conexão entre 2 e 1414 - Palavras-chave em comum: idade mínima
Conexão entre 2 e 1614 - Palavras-chave em comum: reforma da Previdência
Conexão entre 2 e 1668 - Palavras-chave em comum: reforma da Previdência
Conexão entre 3 e 18 - Palavras-chave em comum: Caixa Econômica, Caixa Econômica Federal
Conexão entre 3 e 38 - Palavras-chave em comum: Caixa Econômica Federal
Conexão entre 3 e 44 - Palavras-chave em comum: Caixa Econômica Federal
Conexão entre 4 e 103 - Palavras-chave em comum: STJ manda soltar
Conexão entre 4 e 837 - Palavras-chave em comum: STJ manda soltar
Conexão entre 4 e 961 - Palavras-chave em comum: STJ manda soltar
Conexão entre 5 e 8 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 15 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 16 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 21 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 22 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 26 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 33 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 46 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 72 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 73 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 81 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 85 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 95 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 97 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 107 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 113 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 118 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 130 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 142 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 144 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 148 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 154 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 158 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 161 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 168 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 170 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 173 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 179 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 186 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 192 - Palavras-chave em comum: Rio de Janeiro
Conexão entre 5 e 193 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 196 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 205 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 229 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 234 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 235 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 239 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 249 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 257 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 258 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 263 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 267 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 270 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 272 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 277 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 291 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 293 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 301 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 308 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 315 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 328 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 330 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 332 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 350 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 351 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 352 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 354 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 356 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 362 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 365 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 366 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 378 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 381 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 389 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 399 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 400 - Palavras-chave em comum: Rio de Janeiro
Conexão entre 5 e 402 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 413 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 417 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 419 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 420 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 426 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 428 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 438 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 439 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 441 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 443 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 447 - Palavras-chave em comum: Rio de Janeiro
Conexão entre 5 e 448 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 449 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 453 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 463 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 464 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 466 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 470 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 474 - Palavras-chave em comum: Rio de Janeiro
Conexão entre 5 e 476 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 477 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 480 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 483 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 490 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 493 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 495 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 499 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 507 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 509 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 518 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 533 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 538 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 549 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 553 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 565 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 575 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 580 - Palavras-chave em comum: Rio de Janeiro
Conexão entre 5 e 584 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 592 - Palavras-chave em comum: presidente Jair Bolsonaro
